Gender,AgeGroup,MonthlyIncome,LoanAmount,RepaymentStatus
1,3,31,475,X
1,4,23,205,X
1,4,27,542,X
0,3,30,262,X
0,4,51,448,X
1,2,29,97,T
1,4,35,95,T
0,1,11,255,X
1,4,16,260,X
1,2,43,488,X
1,4,48,63,T
0,4,52,55,T
0,4,47,368,X
1,4,59,359,X
0,2,29,176,X
1,1,16,124,X
0,3,159,180,T
1,2,16,110,X
0,3,80,87,T
0,3,68,108,T
0,1,5,177,X
1,1,14,185,X
1,4,53,408,X
1,3,67,187,T
1,2,43,308,X
1,1,8,337,X
1,4,60,346,X
1,3,38,103,T
1,2,49,166,T
0,4,41,425,X
1,3,119,374,T
1,3,54,485,X
0,2,27,467,X
0,1,15,74,T
0,4,24,409,X
0,4,21,395,X
1,3,34,107,T
0,4,136,58,T
1,3,79,354,T
1,3,78,72,T
1,4,53,64,T
1,1,6,203,X
0,2,127,330,T
1,1,12,298,X
1,1,11,253,X
1,4,58,252,T
1,1,7,470,X
0,4,26,327,X
1,3,36,246,X
1,2,42,158,T
0,3,71,211,T
1,1,16,467,X
1,2,23,208,X
0,2,41,418,X
0,2,159,427,T
1,1,15,109,X
0,3,25,373,X
0,3,71,312,T
1,2,48,351,X
0,4,38,184,T
1,4,32,161,X
1,2,35,211,X
0,4,51,70,T
0,2,29,326,X
1,3,60,466,X
0,2,15,622,X
0,4,41,411,X
0,4,24,87,T
1,4,57,67,T
1,1,12,253,X
1,1,6,312,X
1,3,50,80,T
0,4,46,427,X
0,3,20,223,X
1,4,37,367,X
0,4,27,433,X
0,1,15,477,X
1,4,57,379,X
1,3,28,183,X
1,4,59,443,X
1,3,45,171,T
0,3,57,84,T
1,3,79,309,T
0,2,45,420,X
0,3,33,196,X
0,4,57,195,T
1,4,21,387,X
1,3,24,415,X
1,4,30,63,T
0,4,49,240,T
0,4,31,441,X
0,3,64,365,X
1,2,48,258,X
0,2,196,469,T
1,1,14,202,X
1,1,17,296,X
0,1,9,101,X
0,1,17,112,X
1,4,29,453,X
1,1,5,245,X
0,2,16,333,X
0,3,70,299,T
0,1,107,292,T
0,3,26,551,X
1,1,19,461,X
1,4,59,247,T
0,1,9,108,X
0,3,71,83,T
0,4,31,74,T
0,1,9,486,X
1,1,13,138,X
0,1,10,56,X
0,1,6,125,X
0,4,19,454,X
0,4,22,441,X
1,1,18,184,X
1,4,36,956,X
0,1,5,221,X
1,3,78,319,T
1,1,9,179,X
0,3,55,186,T
0,1,8,439,X
1,3,56,155,T
1,1,5,309,X
0,3,56,471,X
0,4,16,428,X
1,2,18,146,X
1,2,35,448,X
1,2,44,650,X
0,1,7,280,X
0,1,16,89,X
0,3,30,341,X
1,1,195,247,T
0,4,52,209,T
0,3,72,362,X
1,4,23,404,X
0,3,63,89,T
0,2,31,338,X
0,3,43,189,T
0,4,17,361,X
1,3,31,69,T
1,1,19,178,X
1,4,52,127,T
1,4,45,203,T
1,1,16,864,X
0,1,10,54,X
0,1,12,210,X
1,4,19,418,X
0,1,144,147,T
1,4,26,374,X
0,4,35,160,T
0,1,19,364,X
1,1,17,179,X
0,4,17,137,X
1,2,26,112,T
1,3,43,303,X
0,3,60,54,T
0,4,51,139,T
1,4,21,408,X
0,3,71,327,T
1,2,46,433,X
0,4,29,223,X
0,4,33,497,X
1,4,26,307,X
0,4,57,229,T
0,1,12,220,X
1,4,43,192,T
1,3,77,102,T
0,4,21,173,X
0,2,43,339,X
0,1,9,256,X
0,4,56,122,T
0,1,13,214,X
1,4,17,346,X
0,1,15,188,X
1,4,26,157,X
1,4,21,367,X
1,2,50,168,T
0,1,10,73,X
0,1,12,465,X
1,2,28,319,X
0,1,13,217,X
0,1,10,473,X
0,1,15,226,X
0,2,48,135,T
0,2,25,284,X
1,2,32,150,T
1,4,46,111,T
0,4,52,102,T
1,2,38,259,X
0,2,25,473,X
0,2,26,489,X
1,4,51,500,X
1,4,57,328,X
0,1,16,101,X
1,3,77,313,T
0,3,35,186,X
1,3,75,127,T
0,2,18,423,X
1,4,51,967,X
0,2,49,601,X
0,4,35,100,T
1,2,29,986,X
1,4,28,54,T
1,1,9,187,X
0,1,11,496,X
0,4,55,369,X
1,4,37,55,T
0,2,21,138,X
1,1,6,354,X
0,4,27,94,T
1,3,64,272,T
0,2,31,249,X
1,3,39,282,X
0,1,14,53,T
1,4,46,264,X
0,3,38,180,T
1,3,43,388,X
1,2,31,384,X
0,4,52,150,T
0,2,38,472,X
1,2,20,262,X
0,4,47,70,T
1,1,11,454,X
0,4,54,219,T
0,4,28,259,X
0,1,17,153,X
1,1,10,366,X
1,1,13,460,X
1,3,42,218,X
0,3,32,197,X
0,4,55,308,X
1,2,26,247,X
1,3,59,305,X
1,3,33,371,X
0,1,19,776,X
1,3,25,294,X
1,4,49,410,X
1,1,10,318,X
1,1,18,301,X
0,2,48,164,T
0,1,9,399,X
0,4,35,139,T
0,2,128,141,T
0,4,43,76,T
1,4,25,201,X
1,3,47,471,X
1,1,20,324,X
1,4,25,225,X
0,3,27,176,X
0,3,72,459,X
1,2,19,389,X
0,4,27,209,X
0,1,15,187,X
0,3,78,326,T
1,1,10,290,X
1,3,48,424,X
0,4,46,415,X
0,1,19,440,X
1,2,32,127,T
0,2,34,239,X
0,1,9,64,X
0,3,57,382,X
0,4,45,467,X
1,3,41,288,X
0,1,11,89,X
1,2,27,333,X
1,2,41,117,T
1,1,10,466,X
1,2,15,562,X
0,1,5,309,X
1,1,10,244,X
0,4,54,355,X
1,3,39,70,T
0,2,17,159,X
1,1,16,223,X
0,1,7,118,X
0,1,6,89,X
0,2,26,120,T
1,2,34,489,X
0,4,136,137,T
0,2,37,199,X
0,3,36,406,X
0,2,27,219,X
0,2,42,88,T
0,1,198,327,T
0,2,40,375,X
1,3,70,145,T
1,4,47,84,T
0,3,75,144,T
1,4,42,345,X
0,1,10,132,X
1,4,39,186,T
1,2,45,449,X
0,3,54,277,X
0,4,24,327,X
1,1,16,477,X
0,1,10,95,X
1,2,46,195,T
0,4,48,367,X
0,4,49,399,X
0,4,50,170,T
1,2,50,362,X
0,1,9,409,X
1,3,53,375,X
1,4,15,258,X
0,3,56,463,X
0,1,10,274,X
0,2,18,414,X
0,2,39,160,T
0,4,29,480,X
0,3,60,608,X
0,2,18,397,X
1,3,22,337,X
1,4,16,421,X
0,2,47,103,T
0,4,18,498,X
1,4,51,118,T
0,2,15,270,X
0,3,46,300,X
1,2,19,414,X
0,2,30,348,X
1,4,51,360,X
1,2,32,61,T
1,3,30,272,X
1,2,50,115,T
0,4,49,80,T
1,1,18,194,X
0,2,38,249,X
0,3,44,168,T
0,4,23,227,X
1,4,39,106,T
1,2,33,497,X
0,1,18,98,X
1,2,48,246,X
1,4,29,173,X
0,1,10,313,X
1,2,39,340,X
0,1,17,436,X
0,1,15,393,X
1,2,38,347,X
0,3,41,272,X
0,3,67,247,T
0,1,19,61,T
0,4,16,325,X
1,2,32,59,T
0,1,10,366,X
1,4,54,343,X
0,4,39,343,X
1,1,7,144,X
0,3,49,343,X
0,2,32,280,X
0,3,57,74,T
0,2,48,411,X
1,1,8,56,X
1,3,25,145,X
0,3,193,61,T
0,3,44,192,T
1,3,63,433,X
1,4,52,389,X
1,3,36,433,X
0,2,34,839,X
0,3,67,329,T
1,2,39,493,X
0,2,26,153,X
1,1,17,310,X
1,4,40,245,X
1,3,33,246,X
1,2,144,465,T
1,4,35,97,T
0,2,31,450,X
0,1,19,193,X
1,2,152,62,T
0,2,39,154,T
0,2,15,380,X
1,2,34,440,X
0,3,24,339,X
0,2,43,278,X
0,1,10,469,X
0,2,46,339,X
0,3,58,368,X
0,3,29,455,X
0,1,16,477,X
1,4,44,215,T
0,3,32,81,T
0,2,49,312,X
0,2,22,261,X
1,4,47,126,T
0,1,11,317,X
0,4,52,268,X
1,3,71,380,X
1,2,47,182,T
0,3,32,427,X
0,1,8,371,X
1,4,58,492,X
0,3,38,173,T
0,1,163,124,T
1,3,21,72,T
0,3,79,152,T
1,3,52,324,X
0,2,115,141,T
1,1,17,336,X
1,3,25,255,X
1,1,10,109,X
1,4,36,283,X
1,1,16,803,X
1,2,25,365,X
0,1,19,116,X
1,2,20,228,X
0,3,73,236,T
0,3,40,356,X
1,1,7,317,X
1,3,33,257,X
0,1,14,121,X
0,1,9,101,X
1,4,57,454,X
1,1,14,177,X
0,2,152,317,T
1,4,159,495,T
1,4,30,225,X
0,3,75,414,X
1,3,24,137,X
0,2,116,106,T
1,4,16,325,X
1,3,57,203,T
0,2,30,416,X
0,4,31,75,T
0,3,53,217,T
0,4,49,157,T
1,3,26,121,T
0,1,13,89,X
0,3,74,79,T
1,1,13,284,X
0,3,66,76,T
0,1,12,55,T
0,3,42,355,X
0,1,14,60,T
0,4,20,350,X
1,2,40,233,X
0,4,42,151,T
1,2,21,248,X
1,4,45,145,T
1,2,17,67,T
1,4,59,271,T
1,1,16,315,X
0,1,6,208,X
1,1,9,129,X
1,1,17,244,X
1,1,12,198,X
1,1,20,57,T
1,4,44,470,X
0,4,50,146,T
1,4,194,167,T
1,3,63,348,X
0,4,16,487,X
0,3,22,479,X
0,2,43,230,X
0,4,49,261,X
0,3,73,303,T
0,1,20,287,X
0,4,46,160,T
0,3,25,443,X
1,4,37,122,T
1,3,27,458,X
0,1,172,195,T
0,4,26,88,T
1,2,43,75,T
0,1,9,329,X
1,3,62,106,T
1,3,162,195,T
0,3,60,171,T
1,3,56,343,X
1,4,37,409,X
1,1,8,437,X
1,1,12,262,X
1,1,15,431,X
0,3,36,441,X
0,2,23,59,T
1,3,41,289,X
0,1,9,241,X
0,4,19,232,X
1,2,19,147,X
1,1,13,132,X
0,1,11,401,X
1,3,34,133,T
1,3,59,211,T
0,4,33,323,X
1,3,28,300,X
1,2,27,388,X
0,1,13,183,X
1,2,19,480,X
1,2,40,69,T
1,4,15,169,X
0,1,16,356,X
0,4,52,258,T
0,2,24,202,X
1,2,34,55,T
0,1,5,313,X
0,1,7,161,X
1,1,9,321,X
1,4,57,455,X
1,3,38,441,X
0,1,14,151,X
1,2,45,472,X
1,3,39,334,X
1,1,18,309,X
0,2,50,377,X
0,4,154,224,T
1,4,19,100,X
0,1,20,372,X
1,3,39,223,X
1,2,34,116,T
1,3,62,143,T
0,1,19,224,X
1,2,19,50,T
0,3,73,433,X
1,4,58,500,X
1,4,54,255,T
0,4,29,202,X
1,4,49,270,X
1,4,107,170,T
1,1,9,250,X
0,4,47,58,T
0,1,6,978,X
1,3,41,319,X
1,1,9,489,X
1,1,145,486,T
1,4,25,119,T
1,3,21,142,X
1,3,78,248,T
1,2,47,139,T
0,4,56,429,X
0,4,35,154,T
0,3,143,141,T
0,3,142,108,T
1,1,15,224,X
0,1,6,429,X
1,2,21,326,X
0,4,31,477,X
0,3,56,472,X
1,1,14,142,X
0,2,21,108,X
0,1,5,90,X
1,1,11,187,X
1,2,29,264,X
0,3,65,455,X
1,3,57,149,T
1,1,5,116,X
0,1,13,480,X
1,4,55,254,T
0,3,36,119,T
0,4,54,422,X
1,2,33,253,X
1,3,20,135,X
0,3,58,145,T
0,1,9,303,X
1,3,23,368,X
0,2,44,131,T
1,2,45,626,X
0,2,33,793,X
0,4,31,381,X
1,2,33,88,T
0,4,43,174,T
0,3,63,139,T
0,3,49,386,X
1,3,50,481,X
0,3,32,148,T
0,2,48,404,X
0,4,54,158,T
1,2,38,77,T
0,2,35,349,X
1,1,5,287,X
0,2,36,85,T
1,1,18,238,X
1,2,37,228,X
0,2,30,181,X
1,1,15,185,X
0,3,22,155,X
1,4,30,251,X
1,4,45,383,X
1,2,36,198,X
0,2,22,225,X
0,4,34,309,X
0,4,58,128,T
0,1,7,414,X
1,2,23,393,X
0,4,57,178,T
0,3,33,439,X
0,1,158,504,T
1,1,11,178,X
1,2,46,258,X
1,3,26,169,X
0,2,36,306,X
0,2,48,419,X
0,3,42,101,T
1,3,54,203,T
1,4,166,394,T
0,3,62,317,X
1,3,73,355,T
1,4,43,172,T
0,3,34,375,X
1,2,29,471,X
1,3,75,161,T
1,1,18,471,X
1,3,21,245,X
1,2,49,476,X
1,4,21,239,X
0,2,42,305,X
1,2,49,399,X
0,1,11,128,X
1,3,59,258,T
0,1,11,129,X
1,2,17,63,T
0,1,16,176,X
1,2,50,154,T
0,2,20,65,T
0,2,50,425,X
0,1,18,190,X
1,4,41,362,X
0,3,58,103,T
1,2,48,407,X
0,4,19,187,X
1,4,31,429,X
0,4,47,447,X
1,4,47,125,T
0,3,57,396,X
0,3,43,126,T
0,1,20,494,X
0,4,58,397,X
1,1,15,333,X
0,3,61,292,T
1,1,20,155,X
1,4,27,63,T
1,2,34,261,X
1,4,51,253,T
1,1,14,147,X
1,1,9,444,X
0,4,25,136,X
0,3,46,130,T
1,1,5,428,X
0,3,24,94,T
1,4,46,327,X
1,2,22,50,T
1,2,36,500,X
0,2,17,490,X
1,3,53,83,T
0,3,53,193,T
1,4,20,181,X
0,1,10,976,X
0,4,60,118,T
0,4,176,427,T
0,1,16,122,X
1,2,46,468,X
1,3,36,218,X
1,1,15,57,T
1,1,20,83,T
1,4,41,353,X
0,1,17,200,X
0,4,37,117,T
0,3,21,247,X
1,2,45,98,T
1,4,50,422,X
1,4,57,71,T
0,3,29,176,X
1,3,68,323,T
0,1,13,408,X
1,2,42,354,X
0,3,194,154,T
0,4,50,411,X
0,4,115,472,T
1,1,8,175,X
1,3,61,70,T
0,4,20,457,X
1,2,26,349,X
1,4,24,293,X
1,2,48,148,T
1,4,39,323,X
0,4,50,318,X
0,4,38,57,T
0,4,43,427,X
1,3,37,59,T
0,3,33,448,X
0,2,50,461,X
0,2,45,482,X
0,4,22,277,X
0,2,46,239,X
0,3,164,73,T
1,2,32,209,X
0,1,18,374,X
1,2,43,355,X
1,3,62,839,X
0,3,31,424,X
1,1,9,447,X
0,2,162,453,T
0,2,47,366,X
0,3,70,283,T
0,2,27,459,X
1,4,28,104,T
0,4,37,966,X
1,3,66,353,X
1,3,55,69,T
1,4,58,280,T
1,2,23,350,X
1,1,6,255,X
0,2,30,462,X
0,2,47,123,T
1,1,13,295,X
0,4,23,61,T
0,2,38,290,X
1,1,7,60,X
0,1,5,446,X
1,3,46,189,T
0,2,19,263,X
1,3,68,323,T
1,4,44,683,X
1,4,58,477,X
0,4,48,84,T
1,4,15,104,X
1,2,25,53,T
1,4,39,67,T
0,1,17,424,X
1,1,9,195,X
0,1,123,417,T
0,2,48,62,T
1,3,72,306,T
1,3,79,470,X
0,1,11,264,X
0,1,5,335,X
0,1,12,429,X
0,3,30,64,T
0,2,47,182,T
1,2,42,421,X
1,1,10,258,X
0,3,77,390,X
1,1,20,211,X
0,3,44,234,X
0,3,43,149,T
0,1,7,68,X
0,4,56,414,X
1,3,49,460,X
1,4,24,64,T
0,1,12,337,X
1,3,76,172,T
0,2,37,422,X
0,3,56,295,X
1,4,39,101,T
1,3,77,82,T
1,2,18,442,X
1,4,57,398,X
0,1,11,459,X
0,4,59,130,T
1,1,13,290,X
0,2,47,372,X
0,1,15,156,X
0,4,25,290,X
1,2,18,324,X
1,2,15,78,X
1,4,50,479,X
0,2,15,362,X
1,3,55,451,X
1,3,54,426,X
0,2,41,133,T
0,3,62,356,X
0,3,38,339,X
1,3,76,57,T
1,4,47,170,T
1,3,70,109,T
1,2,16,437,X
0,3,38,791,X
1,2,29,175,X
0,3,24,204,X
0,4,53,473,X
0,2,28,318,X
0,1,18,218,X
0,2,16,530,X
0,4,18,227,X
1,3,64,160,T
0,4,148,439,T
1,1,18,172,X
0,2,26,119,T
0,3,21,407,X
0,2,32,636,X
0,4,16,367,X
0,1,17,377,X
0,2,17,454,X
0,4,57,225,T
1,3,68,304,T
1,3,26,91,T
0,3,47,149,T
0,1,8,474,X
1,3,75,73,T
0,1,9,246,X
0,4,41,464,X
1,4,35,328,X
0,1,14,475,X
0,1,18,55,T
0,3,53,169,T
1,3,74,360,T
0,4,51,96,T
0,4,18,376,X
1,4,39,70,T
1,2,31,336,X
0,3,53,54,T
0,4,49,403,X
1,4,25,160,X
1,1,18,458,X
0,1,13,375,X
0,3,42,421,X
1,1,14,245,X
0,1,9,392,X
0,1,6,352,X
1,1,9,187,X
0,4,157,429,T
1,4,33,208,X
1,2,44,410,X
1,2,45,416,X
0,3,57,141,T
1,1,8,330,X
0,3,58,166,T
0,4,41,453,X
1,4,33,179,X
1,2,40,640,X
0,2,25,259,X
1,3,30,620,X
0,1,13,98,X
0,1,7,255,X
0,4,152,151,T
1,1,7,337,X
1,3,51,59,T
0,3,62,230,T
0,2,32,450,X
0,1,16,445,X
1,4,24,461,X
1,2,193,491,T
1,4,60,273,T
1,4,38,160,T
0,2,33,296,X
1,2,43,426,X
0,1,20,466,X
1,4,60,128,T
0,4,48,381,X
